episode,path_time,original_time,infer_time,total_reward
1,11803.5830078125,15088.7333984375,0.9496638774871826,3613.66455078125
2,12807.6513671875,15088.7333984375,0.22853374481201172,2445.157470703125
3,12322.9833984375,15088.7333984375,0.25470757484436035,3042.32373046875
4,12004.845703125,15088.7333984375,0.23483800888061523,3392.275390625
5,12119.8125,15088.7333984375,0.2640707492828369,3265.810791015625
6,13083.0146484375,15088.7333984375,0.25155067443847656,2206.28857421875
7,12739.1318359375,15088.7333984375,0.22695469856262207,2584.560791015625
8,11995.0322265625,15088.7333984375,0.23938465118408203,3403.0703125
9,12012.4951171875,15088.7333984375,0.25178956985473633,3383.860595703125
10,12357.2578125,15088.7333984375,0.24742937088012695,2940.590087890625
