episode,path_time,original_time,infer_time,total_reward
1,11168.6015625,13061.8046875,4.587810516357422,2082.52587890625
2,11273.3154296875,13061.8046875,1.072493314743042,1954.8594970703125
3,11452.109375,13061.8046875,1.1168973445892334,1770.665771484375
4,11814.2529296875,13061.8046875,1.0126895904541016,1359.8282470703125
5,11635.2265625,13061.8046875,1.1203019618988037,1556.7554931640625
6,11429.544921875,13061.8046875,1.029472827911377,1783.0078125
7,11214.142578125,13061.8046875,0.9877235889434814,2032.4305419921875
8,11854.48828125,13061.8046875,0.9387664794921875,1328.05126953125
9,11911.728515625,13061.8046875,0.9311285018920898,1265.0853271484375
10,11568.7109375,13061.8046875,0.9954760074615479,1642.4049072265625
