episode,path_time,original_time,infer_time,total_reward
1,1051.1126708984375,1280.4232177734375,2.1722116470336914,252.24159240722656
2,1047.248779296875,1280.4232177734375,0.5496482849121094,256.49169921875
3,1021.3916015625,1280.4232177734375,0.6342771053314209,284.93487548828125
4,1098.0152587890625,1280.4232177734375,0.5538158416748047,196.17666625976562
5,1079.84716796875,1280.4232177734375,0.6410672664642334,220.6336669921875
6,1062.8272705078125,1280.4232177734375,0.5994110107421875,239.3555145263672
7,1049.2989501953125,1280.4232177734375,0.5860333442687988,254.23675537109375
8,1069.3206787109375,1280.4232177734375,0.5571584701538086,232.21263122558594
9,1079.9794921875,1280.4232177734375,0.6008193492889404,220.48806762695312
10,1064.21435546875,1280.4232177734375,0.570307731628418,237.8297119140625
